Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3
50,0,20.39,35.8,18.79,35.73,19.9529,36.8843
70,0,22.2,40.9333,20.7,41.59,21.5,40.9333
60,0,21.29,35.7,18.29,38.1633,22.1,35.9333
60,0,21.6,37.09,18.8233,40.2,22.89,37.2
80,20,20,38.1675,19.1,37.8967,19.79,38.09
50,0,18.6,40.5,17.1333,41.03,19.1,39.73
70,0,20.1,39.6633,19.445,39.6,20.5,38.5
60,0,22.2,40.9,19.73,43.79,22.79,39.7
100,0,23.5,46.6267,21.73,47.4667,25.1333,40.79
350,0,22.1333,45.5667,19.9267,49.09,24.8567,40.8333
60,10,21.6,35.4,18.76,37.4,21.39,34.9333
120,30,21.6,44.595,20.2,44.7667,21.79,42.79
50,0,19.6,46,18.76,46,19.89,45.29
60,0,22,35.9,19.5,38.26,21.89,35.59
70,0,25.2,32.7,27.2,27.776,25,36.2
50,0,20.1,35.7,18,37.6633,19.9725,37.7
360,0,19.76,41.6233,18.23,39.1967,21.1333,39.6567
100,0,20.7,38.6567,19.39,38,21.9267,38.1567
30,0,18.7,42.29,18.1,41.59,19.7225,43.3725
60,20,20.7,44.73,19.79,42.5,21.29,42.4
30,0,22.1,38.4333,19,43,23.1,38.2233
100,0,21,38.6933,18.6,39.5633,21.6,35.59
70,0,22.1333,42.09,21.4633,40.4667,22.6,43.29
110,40,23.29,39.93,22.1,38.4667,22.79,44.5
50,10,18.26,39.7233,17.3567,38.8633,18.5333,40
60,0,20,35.03,16.39,40.23,20.1,36.9
50,10,21.7,39.1267,22.39,36.4333,22.15,37.09
30,0,19.5667,38.4333,19,38.06,18.6333,39.59
40,0,20,36.2,18.1,37.5,20.16,38.2
50,10,19.9633,38.0667,20.6,35.7,20.1333,37.2
50,0,20.6,43.09,19.5,43.29,20.5,44.4
60,0,21.9633,43.1633,19.7,45.23,23.1333,39.59
290,0,21.39,41.16,19.89,38.4,22.5333,38.4267
40,0,18.89,46.1175,18.39,45.7,19.65,44.545
490,0,24.9267,32.1267,23.6,30.7257,23.4633,30.5633
40,0,21.79,41.9333,19.6,46.3333,22.2,38.5
50,0,23,47.495,22.0667,48.3633,24.89,42.26
100,0,19.7,33.8175,17.9975,34.32,19.89,35.9286
30,0,20.2,37.2,19.23,36.79,19.29,39.8267
80,0,21,44.9333,20.39,43.59,21.6,43.59
40,0,20.2,38.6,18.5333,38.3633,20.3567,36.09
30,0,20.1333,35.09,19.3233,34.3633,19.6,34.3633
270,0,20.79,38.5725,19.7563,38.1475,20.675,38.1587
50,0,18.6,39,17.23,39.4333,18.89,39.145
140,30,22.29,46.36,21.39,45.53,21.9633,45.23
50,0,21.0333,41.1267,19.2,43.5,21.7,38.5
80,10,20.73,36,19.39,36.29,19.956,36.4
30,0,18.7,42.29,18.1,41.59,19.7,43.29
60,0,23,41.95,21.4267,42.73,23,39.5
50,0,18.5333,42.4,17.89,41.6267,19.7,43.2
50,0,20.7675,40.09,19.1,41.5,20.6,38.59
60,0,22.1,43.79,19.6,47.5,24.7,41
60,0,21.6,44.5,19.89,46.59,23.1,41.79
60,20,21.39,42.3633,19.7,42.76,21.1,41.29
40,0,20.5,39,18.6,40.2,21.29,38.6633
430,0,22.6,36.3267,20.9267,36.79,22.6,35.4333
50,0,25.2,39.7,23,41.23,25.6986,34.3843
70,0,22.5,35.29,20.0333,36.2,22.39,35.59
50,0,20.29,36.1633,16.7,41.79,20.5,37.4
140,0,23.1,39.6933,20.9267,39.8,23.6,33.4
120,10,25.5,49.6267,25.1,47.2129,26.3186,45.7257
30,0,20.4267,43.4,19.5,43.09,20.29,44.4
50,0,23.79,37.7,21.7,39.09,24.5,38.09
60,20,22.1333,40.4667,19.8567,42,22.79,38.6267
60,0,21.7,39.7225,18.26,45,23.73,38.4
50,0,20.79,37.2233,20.1,36.5667,20.3233,40.4333
60,0,24.9633,47.8267,23.5,48.3686,26.39,43.7
60,0,25.1,38.53,27.1667,31.9267,26.16,38.236
60,0,20.5667,35.1267,19.7,34.73,20.1,35.4
50,0,22.5,40.29,21.6667,39.56,20.8567,42.06
50,0,21.1,39.09,19.5,40.73,21.89,37.5
100,0,21.29,40.4,19.5,39.7,21.2,38.8267
70,0,23.5,33.79,22.0667,33.03,23.1,35.4
50,0,20.79,37.2,18.1667,40,21.26,37.8633
470,0,20.79,40.4,19.39,38.79,21.8567,39.2667
60,0,22.5,44,20,47.2,24.7,40.9667
50,20,21.39,42.56,19.7,43.06,21.1667,41.29
140,0,26,38.79,25.1667,36.7233,28.376,34.196
50,0,20.26,43.6633,19.79,43.06,20,44.2
40,0,18.3233,42.4,17.6333,41.73,18.29,43.53
70,0,22.6667,37.9,21.7,37.6633,22.89,38
70,0,20.89,35.8333,17.89,39.4,21,35.29
40,0,21,37.1267,17.76,41.8267,22.2,34.59
60,20,21,37.4,18.6,39.2667,21.1,36.9
50,0,21.79,44.5,20.26,46.3633,23,41.76
60,0,22.5667,39.06,20.23,40.03,24.9267,36.4
90,20,22.1,41.8633,21.1333,41.4,21.6,43.4
50,0,20.39,36.1933,18.79,35.8633,19.89,36.9
60,20,21.1333,44.96,20.5,43,23.0889,45.0667
70,20,22.15,44.59,21.6,42.79,21.79,45.5
80,0,23,34.9333,23.1,32.76,23.1,35.4333
50,0,22.5,41.5,20.5333,43.56,23.39,39.79
60,0,21.5667,44.56,19.73,46.59,23.0333,41.6267
100,0,21.9214,36.8371,20.5429,37.2,21.2,37.1686
90,0,20,46.5667,19.6,45.29,19.89,45.2
100,0,21.1667,40.1567,23.79,33.5967,22.39,35.06
280,0,19.23,39.2667,17.65,39.2,20.03,39.8333
60,0,19,41.29,18.39,40.6267,19.2,42.79
50,0,20.7,43.6267,19.39,44.6267,21.79,42.2
50,20,21.29,47.29,20.39,47.29,21.6333,46.7
50,0,24.6,44.79,22.26,46.4667,26,43
100,0,22.1,42.4333,20.7,43.3267,23.6,38.29
80,10,21.89,39.26,20.89,38.6633,20.8567,41.3633
50,0,21.29,38.9,18.89,42.29,22.1,37.29
70,0,21.39,43.4667,20.6333,42.36,22.6,42
60,0,24,31.0667,24.29,27.8567,23.5,33.79
60,0,25.5,39.5,23.6667,40.26,25.7,34.2329
40,0,19.89,45.4,19.2,45.03,20.4267,44.23
90,0,21.73,39.2,18.9633,43.4,22.9267,39.09
70,0,21.39,46.03,20.79,45,21.6,44.5
70,0,21.2,41.7,20.6,40,22.4633,43
50,0,20.3567,40,18.7,41.5,20.79,38.79
510,0,21.23,34.2,19.39,33.5667,23.26,34.76
60,0,20.7,35.59,18.7,37.29,19.79,37.09
50,0,20.7,37.7,18.89,38.4975,22.0286,36.4286
50,0,21,40.29,18.39,44.2,21.89,38.09
110,0,20.9057,38.0114,19.4371,37.5543,22.2386,36.4429
40,0,21.7,35.2,19,37.79,22.89,37
60,0,24.39,39.09,22.6,39.9667,25.7,38.79
80,20,21.29,41.29,18.2,46.8633,20.76,38.4667
190,10,23.9267,51.4333,23.1,43.03,25.3567,44.9
50,10,22.2675,38.1725,26.1333,30.9667,23.1,35.4
40,0,19.1,41.1267,18.5,40.1267,19.29,42.56
40,0,22.2,42.09,24.29,37.4333,23.1,39.09
80,10,18.39,43.76,17.7,42.6267,19.5,43
40,0,20,36.9,17.2,40.3267,20.29,37.2667
50,0,19.29,42.09,18.6333,41.3267,20.26,43.6333
40,0,17.79,40.59,16.76,41.1267,18.1,40.03
320,0,19.2,34.9,18.9633,33.59,19.7267,36.6
40,10,21.29,47.3267,20.39,47.29,21.6333,46.7
40,0,21.2,39.4,18,44.2,22.5,39
50,0,22,36.7,19.2,39.59,21.79,36.4667
40,0,21.79,39.9,20.89,39.53,20.5,41.7
40,10,21.2,41.79,18.1,46.8333,23.3567,38.8333
100,20,20.2,39.0667,18.36,40.3,20.3567,38.59
80,10,18.2,38.03,16.9633,39.5667,18.39,37.79
50,0,23.1,42.4,22.39,41.2,23.5,42.8725
100,0,20.89,33.59,19.2225,33.8175,20.2,35.4
770,0,22.8233,48.7633,22.39,39.8,23.29,39.23
110,20,22.6,43.1633,21.29,43.7,22.29,42.5
90,10,20.7,35.8267,22.26,32.9567,21.39,34.7
70,0,21.8567,38.1933,23.8567,32.56,22.39,36.29
60,0,20.79,43.2,19.1,44.7,21.79,42.76
50,0,22.2,46,21.29,45.7,23.2,46
80,0,22.5,37.36,20.5,39.69,22.79,37.09
40,0,22.0667,43.6633,21.29,43.4,22,44.9
410,10,20.89,36.7,18.39,39.5,21.3267,37.1
340,20,23.2,39.3333,22.5,38.9667,21.29,41.9
110,10,22.7,31.9633,21.79,29.96,24.3567,38.3267
50,0,21.2,38.26,18,42.1633,21.89,36.5
530,0,21.1333,43.3933,18.7,45.5667,22.4967,40.3333
60,0,20.89,37.5667,19.0933,40.2933,22.1,35.8175
40,0,21.2,42.09,20.4633,41.76,22.1944,43.8572
60,0,19.5,37.2,17.79,38.76,20.79,37.09
130,10,21.7,36.1633,21.2,34,22.4267,34.9333
250,0,20.7,33.76,19,35.1633,20.2,34.59
120,30,22.89,41.1633,22.2,40.23,21.79,42.73
90,30,19.4267,39.09,17.9267,40.5267,19.79,37.4333
70,10,20.79,35.3633,21.9633,31.6333,21.5,35
320,0,25.0667,48.7,28.76,38.2,27.296,43.42
90,0,23.4633,38.79,21.29,40.29,26.0714,38.8971
560,10,20.5667,40.6267,19.5,40.6333,20.93,46.6267
80,0,20.79,42.3633,20.1,40.2,21.5667,40.9
40,0,19.4267,42.1267,18.89,41.29,20.6667,44.43
270,0,23.1,39.0267,22.4633,38.03,23.3267,41.4
50,0,21,44.23,20.4267,43.4333,20.39,43.545
80,0,22.7,39.29,21.79,38.06,24.1,36.79
40,0,23.7,35.4,20.39,38.1843,24.2,36.29
60,20,22.7,44.0267,21.29,43.4667,23.1,40.76
60,0,21.79,44.29,20.5,44.4,22.0333,44.03
50,0,21.39,39.29,18.79,43.03,22.4633,38.4667
210,10,19.7,38.5267,19.29,37.53,19.29,39.7667
30,0,21.7,37.5,19.7,37.0667,22.5667,36
50,0,19.39,46.3267,18.65,46.3,19.8233,45.23
50,0,21.1,36.09,18.5,37.06,20.89,35.4333
40,0,22.76,39.59,20.29,42.29,24.272,36.9
70,0,21.1667,36.3267,19.5,36.7,21.29,35.9
50,0,20.89,35.79,19.1667,36.4,20,37.518
50,0,22.9633,41.09,22.4633,40.7667,24.29,38.4
50,0,22.8567,45.9667,21.1,48.26,25.1,42.2
60,0,21,39.9333,19.1,41.3267,21.39,40.8267
60,20,21.79,42.3333,22.7,39.09,23,38.7
60,0,20.23,38.2567,17.7,40.53,23.0333,35.2267
110,10,22.5,33.26,21.29,32.36,23.5667,35.7
120,0,23.0333,40.1667,21,39.1933,23.6,32.9975
30,0,21.5,36.29,18.1667,38.9633,22.5,36.06
50,0,22.1,44.3267,21.23,43.53,21.8733,44.275
40,0,19.29,37.7,17.1667,39.9667,20.1,37.4
90,0,22.39,39.9333,22.6,37.425,23.1,38.045
70,0,24,45.09,21.6,47.9,25.5,41.0967
160,0,21.39,40.03,18.7,44.59,22.89,37.2
120,10,22.79,36.26,21.29,36.6933,22.89,37.5
60,10,21.2,44.9,19.7,45.0667,21.89,43.4333
60,20,21.39,41.4,18.5,46.79,20.79,38.59
30,20,22.1,44.59,21.5,42.79,21.745,45.4167
90,10,21.29,37.5267,20.89,35.73,21.6,37.5
60,0,20.1,35.79,17.23,38.8267,21.7,34.4
30,10,21.1,38.9,18.8567,39.93,21,39.73
60,0,22.0333,36.73,19.23,39.59,21.79,36.4
60,0,25.2,48.06,27.1,41.0529,26,44.98
90,0,21.7,40.0667,21.1,38.9667,22.5,38.56
60,0,23.6,30.4,24.76,26.0667,23.1,32.7
60,0,24.79,47.8267,24.6286,46.1214,26,43.79
40,0,21.2,39.9333,18.2,44.73,23.39,37.9667
80,0,21.79,40.36,20.29,41.23,21.2,40.4333
60,0,21.39,38.0667,19.79,37.4667,22.6667,36.3333
80,0,22.1,36.1267,20,37.23,22,35.4
90,0,20.9686,37.78,19.6857,37.2643,22.39,36.59
70,0,23.5,40.6633,24.1,36.79,24.39,38.5
70,0,20.89,35.9333,18,39.4667,21,35.29
110,0,22.39,44.6967,22,41.06,22.5,42.1725
50,0,21,40.9,18.0667,45.1633,23.1,39.79
50,0,21.2,35.79,18.1,38.73,20.1,36.3633
50,0,21.79,35.2,18.3567,39.09,23.29,35.03
100,20,21.2,42.4,20.7,41.4,20.5,41.79
60,0,24.6627,49.8955,24.227,47.7891,26.8945,44.1727
50,0,22.2,35.8975,23.4633,31.3567,22.2,36.73
50,0,23.7636,41.1645,22.6323,41.6818,24.9709,38.9045
60,50,19.8567,45.56,19.2,44.5,19.73,44.9
100,20,21.3233,42.7233,19.6333,41.9,20.8567,42
90,10,20.79,42.9,19.86,42.5267,20.4633,41.6633
40,0,22.6,39.2,20.1667,41.6267,22.29,38.9
50,0,24.7,39.5,27.89,32.5,26.2,37.4
50,0,22.8567,39.3633,20.7,39.9333,24.5,37.7257
30,0,18.89,46.2,18.2,45.53,19.6,44.4333
50,0,20.79,43.26,18.89,46.29,21.6,39.8267
40,0,21,37.4,19.1333,37.7,20.89,38.73
50,0,24.1,44.79,22.5,44.92,26.76,40.03
50,0,22.89,41.4,20.89,43.218,24.7,40
90,0,23.39,34.93,23.4843,32.9957,24.2,35.09
60,0,21.1,37.59,18.1,39.9,21.89,36.29
140,20,21.9267,41.86,20.1,40.3,20.79,39.09
60,10,20.1,35.56,17.7,37.3633,20.7,35.8633
60,0,20.6,42.7,19.6,42.8267,20.6,45
100,0,22.1,35.79,19.76,37.4333,22.4633,33.9667
50,0,20.5,40.6267,18.89,40.4,20.29,40.5
50,0,19.89,35.09,17.9267,36.1267,20.5333,36.7
70,0,21,43.7,20.39,42.4,21.9267,45.9333
50,0,20.8233,43.23,19.73,43.2,20.29,44.29
60,0,20.79,36.29,18,39.6267,22,36.7
70,20,21.29,43.29,21,41.6633,20.79,42.2
60,0,24,44.9,22.3186,45.4,26.7,40.29
50,0,21.5143,36.09,19.5,37,20.8186,38.0643
50,0,19.29,39.9333,18,40.2,19,39.5
60,0,19.79,44.2,19.23,43.9,20.1,44.2
60,20,21.29,39.9333,18.5333,43.79,22,38.29
70,0,18.39,43.7,17.7,42.59,19.4633,42.9
70,0,22.7,40.8,22,39.3,23.1,38.26
50,0,21.5,41.59,18.5,45.6633,23.65,39.5225
80,0,22.5,41.1633,22.5,38.9667,23.2,38.8633
30,0,20,35.6267,17.7,37.1633,20.5,35.1267
50,0,19.89,35.4,16.7,40.23,20.0667,36.4667
40,0,19.79,41.23,18.2,41.7,19.89,40.79
70,10,21.89,39.9,20.26,40.59,21.39,40.59
260,0,23.6333,40.49,22,39.36,23.79,39.09
60,0,21.7,44.2,20.29,44.4667,22.1,44
70,0,22.6333,39.6633,21.79,38.26,24.1667,37.2
30,0,21.1,37.4,19.26,37.6633,20.89,38.59
70,20,20.6667,38.96,19.2267,40.2933,21.39,35.26
100,20,22,53.0667,21.5667,45.9667,22.08,46.678
60,0,24.29,38,22.9633,37.9333,24.7,37.73
60,0,20.6,39,18.73,40.2,21.23,38.59
60,0,20.2,35.2,18.2,35.95,20.6,36.59
50,10,21.5,44.36,19.79,46.53,23.1,41.7
50,0,19.8567,44.3333,19.29,43.9,20.1333,44.2
30,0,18.79,46.5,18,46.5,19.7,45
60,0,23.79,35.06,20.8043,37.1657,24.2,35.4
20,0,20.29,37.2,17.5,40.4475,20.865,37.5675
60,0,24.2896,38.1899,23.3949,36.4805,24.8774,37.1513
380,10,19.5,40.66,18.36,37.79,20.1333,38.8333
40,0,21.2,36.23,18.6,39.3267,20.1667,36.4667
100,0,22.1667,35.79,19.8567,37,22.5,33.79
60,0,24.5127,52.2025,23.6622,51.2546,27.2275,46.0027
50,0,20.39,43,19.79,41.1633,20.89,41.79
60,0,21.39,35.7,18.39,38.09,22.39,35.8633
100,10,21.29,43.53,20.73,41.3267,21.5,43.6633
80,0,24.8567,33.13,28.0375,27.4062,24.89,36.4
50,0,21.7,36.9,18.79,40,21.7,36.59
80,10,22.79,39.6633,20.26,40.76,22.7,37.76
20,0,19.7,41.2,18.1,41.79,19.79,40.6633
40,0,21.39,39.9667,18.4633,44.3633,22.7,39.09
140,0,22.3233,46.4233,22.315,43.4,24.9633,42.39
60,0,23.39,37.89,21.89,37.59,24.29,35.9714
60,0,20.9267,37.7667,18,41.43,21.89,36.4667
290,0,20,34.4667,17.0967,38.1333,20.2,36.0267
40,0,22.34,43.4,21.6,43,21.7,44.73
60,0,19.79,46.03,19.2,44.9,19.7,44.7
50,10,21.1,33.3267,20.2675,32.8725,20.445,34.245
120,20,25.6,42.7,25.6,38.73,26.6,38.59
40,0,19.29,37.03,17.1,39.7,19.79,38.9667
40,0,18.39,38.79,17.4267,38.8267,18.5,39.29
50,0,18.89,40.06,17.39,40.7,19.39,39.8633
80,20,25,40.09,27.6,33.3633,26.29,37.7
50,0,21.5,34.1567,20.39,33.9667,20.79,34.23
40,10,19.5,37.7,17.39,40.0667,20.39,36.09
50,0,23.39,36.7633,20.4057,39.3129,24.29,36.7
40,0,21.29,37.56,18.39,39.9667,21.1,37.79
50,0,20.6,36.9333,19,37.76,20.5,36
110,0,22.79,39.5667,21.372,40.276,24.6,37.4
80,0,22.0333,38.9333,23.3233,36.2233,22.89,37.7
80,0,21.0333,39.6633,20.3233,40,21.89,37.5
200,40,21.73,46.4667,20.8567,46.1633,22.8567,45.1667
40,0,20.89,41,17.89,44.73,23,39.5
50,30,22.6,39,20.4633,41,22.5,38.1267
70,0,16.79,45.7,16.1,45.5,17.315,43.1175
50,0,22.1,41.59,19.7,45.06,24.2,39.79
20,0,19.29,46.59,18.5333,46.4,19.84,45.245
70,0,22.6,38.03,21.7675,37.925,22.9633,38.09
60,10,20.89,36.4,18.1667,39.9333,22.1,34.4
230,0,21.0667,38.79,21,35.86,21.5333,36.3633
60,0,22.39,40.9,19.26,45.9,24,38.7
90,0,22.6,42.53,20.0333,44.03,24.2,39.2
80,0,25.5,50.9667,25.5286,48.3243,26.2,46.634
80,30,22.89,44.93,21.9175,45.0112,24.5,40.2
50,0,20,35.7,17.79,37.59,20,37.754
130,20,22.7,47.33,22.2,44.3633,21.73,47.2
40,0,25.29,48.5,23.54,49.576,26.6,44.56
70,0,24.79,48.6633,26.6725,43.9075,25.37,44.796
100,30,22,40.5267,20.4267,41.59,22.2,38.2
50,0,21.1,35.79,17.9267,38.9,20.2,36.4
50,0,21.2,39.59,21.0667,39.53,22,37
120,30,23.29,40.39,22.1,38.6267,22.79,45
50,0,18.7,45.9667,18.3233,45.1633,19.1,43.7
140,20,24.6667,38.59,24.1,36.5,24.7,37.09
280,0,21.89,36.0267,21.0333,35.5267,23.9267,34.3633
70,0,25.29,46.9667,25.39,44.236,26.79,42.09
90,0,22.1,37.23,19.79,39.3333,21.2,37.53
70,0,23.3567,39.56,20.5,42.93,23.73,37.59
380,0,21.39,39.23,21.86,38.8333,21.9267,37.5
30,0,19.2,40.9333,18.5,40,19.29,42.5
